k,Re(c_k),Im(c_k)
-9.500000000000000000e+02,1.425779722033352660e-06,-3.069116597806768323e-07
-9.490000000000000000e+02,-1.708561476107122194e-07,3.464285694975543096e-07
-9.480000000000000000e+02,-6.539308449739450295e-07,-5.728230057715726466e-07
-9.470000000000000000e+02,9.298411754398268813e-07,-7.956416824025209188e-07
-9.460000000000000000e+02,9.244614508896386250e-07,6.744222277362513132e-07
-9.450000000000000000e+02,1.393829985202268854e-06,-5.318470587798877552e-07
-9.440000000000000000e+02,1.514376378323950215e-06,1.303095701014047020e-07
-9.430000000000000000e+02,3.237862942134021353e-07,-1.515780332250132401e-07
-9.420000000000000000e+02,7.620922042522260478e-08,-1.172813521460503271e-06
-9.410000000000000000e+02,3.821852368214302513e-08,1.716843595557689117e-07
-9.400000000000000000e+02,7.057582066910902561e-07,-1.864280651770731684e-07
-9.390000000000000000e+02,6.075015086914843177e-07,7.240953221043173516e-07
-9.380000000000000000e+02,6.676787181079870282e-07,2.702251049262042494e-07
-9.370000000000000000e+02,1.328102843325751379e-06,-1.091569849980198446e-06
-9.360000000000000000e+02,6.525511908938133913e-07,2.289664032647435819e-07
-9.350000000000000000e+02,2.951594271535633047e-07,-1.747507842779892103e-08
-9.340000000000000000e+02,-6.326290198945735277e-07,-2.037791934183985680e-07
-9.330000000000000000e+02,1.692793388828739008e-07,-5.090153256758968455e-07
-9.320000000000000000e+02,1.927688249931388349e-06,-7.154272113311328026e-07
-9.310000000000000000e+02,1.271032392637661611e-06,5.458238326770232477e-07
-9.300000000000000000e+02,5.297695736909011091e-07,-9.550436945390573400e-08
-9.290000000000000000e+02,1.646744094306824889e-07,-8.806786813673632202e-07
-9.280000000000000000e+02,7.138052884221116339e-07,-8.293880975045270980e-09
-9.270000000000000000e+02,2.696233044511777864e-07,2.420511034828231310e-07
-9.260000000000000000e+02,5.944214995285154550e-07,-7.048564777385917711e-08
-9.250000000000000000e+02,1.523125125370855011e-06,4.611525403118514046e-08
-9.240000000000000000e+02,2.181196206240787298e-07,-5.779933510700991056e-07
-9.230000000000000000e+02,1.189181938727028602e-06,-5.590967092761565604e-07
-9.220000000000000000e+02,1.920781866967825316e-07,2.823578596855390858e-07
-9.210000000000000000e+02,-8.208776220255579277e-07,1.415467640602673018e-07
-9.200000000000000000e+02,9.190364494792203106e-07,4.377308686475607264e-07
-9.190000000000000000e+02,-5.197760337647549947e-08,-2.606091432284197095e-07
-9.180000000000000000e+02,1.743298414907278447e-06,-9.760260429781636806e-07
-9.170000000000000000e+02,2.250741886640740622e-06,-1.151903295951915663e-07
-9.160000000000000000e+02,-3.180684722983330025e-07,-9.371589759081396475e-08
-9.150000000000000000e+02,1.870616867744460455e-07,-5.858201757280879091e-07
-9.140000000000000000e+02,3.429941029207408346e-07,-5.673800123794027657e-07
-9.130000000000000000e+02,8.220547019298346915e-07,4.740868920319159176e-07
-9.120000000000000000e+02,8.052547104990641629e-07,3.897178243884096244e-07
-9.110000000000000000e+02,4.063793748620973974e-07,-5.610954046635633534e-07
-9.100000000000000000e+02,1.183107110766157721e-06,-6.189465231630568139e-07
-9.090000000000000000e+02,7.560316829491287808e-07,-1.767529260190864754e-07
-9.080000000000000000e+02,2.769726851861210610e-07,9.292315112637906157e-07
-9.070000000000000000e+02,-1.819430755120284363e-07,1.739419385517610968e-07
-9.060000000000000000e+02,3.196458879118745794e-07,-2.652988485766073854e-07
-9.050000000000000000e+02,1.291692841837936267e-06,-4.478564004444201933e-07
-9.040000000000000000e+02,9.885480546451756549e-07,-1.127244914187500125e-06
-9.030000000000000000e+02,6.951364783403131669e-07,3.205562428342065718e-08
-9.020000000000000000e+02,4.448509428003791059e-07,-4.878471009447796821e-07
-9.010000000000000000e+02,8.807129950444392806e-08,3.128818781561595397e-07
-9.000000000000000000e+02,3.344991476522478878e-07,4.518504150313631777e-07
-8.990000000000000000e+02,1.590204034970359734e-06,-9.765616457156384329e-07
-8.980000000000000000e+02,1.176410020686975699e-06,7.344300699610450955e-07
-8.970000000000000000e+02,1.458020361271884779e-07,-9.501713736015035550e-07
-8.960000000000000000e+02,8.392781018987034678e-07,-1.404614371326895005e-06
-8.950000000000000000e+02,5.532753624743041976e-07,7.836626647077569010e-07
-8.940000000000000000e+02,2.086623717121753379e-07,4.425785856040796902e-07
-8.930000000000000000e+02,1.145984031972883309e-07,1.145651200325281725e-06
-8.920000000000000000e+02,7.577675421922857625e-08,-3.800801141826114519e-07
-8.910000000000000000e+02,1.337276397847237639e-06,-1.351887675568485316e-06
-8.900000000000000000e+02,1.602279134320362902e-06,-2.868453214682092391e-08
